Asset Id,Date,Price SOD,Security Description,Security Ticker
SIU220226,1/07/2021,19.21311907,SILVER SEP 22,SIU2
SIU220226,2/07/2021,19.08520274,SILVER SEP 22,SIU2
SIU220226,3/07/2021,19.33705409,SILVER SEP 22,SIU2
SIU220226,4/07/2021,18.96251994,SILVER SEP 22,SIU2
SIU220226,5/07/2021,18.96401538,SILVER SEP 22,SIU2
SIU220226,6/07/2021,18.92932346,SILVER SEP 22,SIU2
SIU220226,7/07/2021,18.88158718,SILVER SEP 22,SIU2
SIU220226,8/07/2021,18.3322646,SILVER SEP 22,SIU2
SIU220226,9/07/2021,17.6837446,SILVER SEP 22,SIU2
SIU220226,10/07/2021,14.23279,SILVER SEP 22,SIU2
SIU220226,11/07/2021,17.87923549,SILVER SEP 22,SIU2
SIU220226,12/07/2021,17.4398131,SILVER SEP 22,SIU2
SIU220226,13/07/2021,17.75308897,SILVER SEP 22,SIU2
SIU220226,14/07/2021,16.99669264,SILVER SEP 22,SIU2
SIU220226,15/07/2021,16.85831805,SILVER SEP 22,SIU2
SIU220226,16/07/2021,16.94847315,SILVER SEP 22,SIU2
SIU220226,17/07/2021,17.2174598,SILVER SEP 22,SIU2
SIU220226,18/07/2021,17.05720391,SILVER SEP 22,SIU2
SIU220226,19/07/2021,17.09731631,SILVER SEP 22,SIU2
SIU220226,20/07/2021,17.15701887,SILVER SEP 22,SIU2
SIU220226,21/07/2021,25.2698,SILVER SEP 22,SIU2
SIU220226,22/07/2021,27.3648996,SILVER SEP 22,SIU2
SIU220226,23/07/2021,17.38582673,SILVER SEP 22,SIU2
SIU220226,24/07/2021,17.58502114,SILVER SEP 22,SIU2
SIU220226,25/07/2021,17.78804102,SILVER SEP 22,SIU2
SIU220226,26/07/2021,17.38322759,SILVER SEP 22,SIU2
SIU220226,27/07/2021,17.39812653,SILVER SEP 22,SIU2
SIU220226,28/07/2021,17.39963039,SILVER SEP 22,SIU2
SIU220226,29/07/2021,16.76920135,SILVER SEP 22,SIU2
SIU220226,30/07/2021,16.5848603,SILVER SEP 22,SIU2
SIU220226,31/07/2021,16.72630383,SILVER SEP 22,SIU2
